A site #1,A site #2,A site #3,B site #1,B site #2,B site #3,Number of elements,energy_above_hull (meV/atom),formation_energy (eV/atom),num_of_atoms_host_Asite0,host_Asite0_Heat of Vaporization,host_Bsite0_at. wt.,host_Bsite0_Ionization Energy (kJ/mol),shannon_radii_AB_avg,Density_AB_avg,BCCefflatcnt_AB_avg,BCCvolume_padiff_AB_avg,GSenergy_pa_AB_avg,covalent radius_AB_avg,Ionization Energy (kJ/mol)_AB_avg,Electron Affinity (kJ/mol)_AB_avg,MendeleevNumber_AB_avg,thermal conductivity_AB_avg,at. wt._AB_diff,specific heat capacity_AB_diff,electrical conductivity_AB_diff,BCCefflatcnt_AB_ratio,Ionization Energy (kJ/mol)_AB_ratio,Heat of Vaporization_AB_ratio,Asite_At. Radius   (angstroms)_weighted_avg,Bsite_ BP (K)_weighted_avg,Bsite_At. Radius   (angstroms)_weighted_avg,Bsite_Second Ionization Potential  (V)_weighted_avg,Bsite_electrical conductivity_weighted_avg,Asite_Ionic Radius (angstroms)_max,Asite_BCCenergy_pa_max,Asite_Atomic Radius (Å)_max,Asite_At. Radius   (angstroms)_max,Bsite_ BP (K)_max,Bsite_At. Radius   (angstroms)_max,Bsite_First Ionization Potential (V)_max,Bsite_Third Ionization Potential  (V)_max,Asite_shannon_radii_min,Asite_BCCenergy_pa_min,Asite_At. Radius   (angstroms)_min,Bsite_MendeleevNumber_min,Bsite_n_ws^third_min,Asite_shannon_radii_range,Asite_IsPnictide_weighted_avg,Asite_IsRareEarth_weighted_avg,Asite_NfUnfilled_weighted_avg,Asite_NfValence_weighted_avg,Bsite_At. #_weighted_avg,Bsite_IsMetal_weighted_avg,Bsite_NdUnfilled_weighted_avg,Bsite_NpUnfilled_weighted_avg,host_Asite0_IsBCC,host_Asite0_OrbitalD,host_Bsite0_IsHexagonal
Ba,Sr,,V,,,4,29.74770732,-2.113334555,7,136.9,50.9415,650,1.020625,4.390625,7.730568141,-0.5775,-5.326081436,1.569375,596.8375,-51.75,27.0625,18.044375,21.446125,-0.1005,0.3625,1.608809187,0.836423077,0.307393105,2.48875,3650,1.92,14.65,4,1.42,-1.67793991,2.22,2.76,3650,1.92,6.74,29.31,1.44,-1.92352226,2.45,46,1.64,0.17,0,0,0,0,23,1,7,0,0,0,0
Ba,Bi,Pr,Co,,,5,106.702335,-1.311862585,4,332.63,58.9332,758,0.9125,7.81,7.06658414,-0.22875,-5.470804145,1.4225,660.525,54.75,45.125,56.40875,49.049125,-0.1215,-8.1125,1.566252406,0.742810026,0.659295473,2.4325,3143,1.67,17.06,17.9,1.42,-1.92352226,2.22,2.76,3143,1.67,7.86,33.5,1.17,-4.64853984,1.63,58,1.75,0.44,0.25,0.5,5.5,5,27,1,3,0,0,0,1
Ba,Ca,,Fe,,,4,171.6080933,-1.435607274,6,154.67,55.847,759.3,1.02075,4.967,7.17978616,-0.35625,-5.113806049,1.485,663.6875,-53,31.25,117.4,4.272,0.043625,6.4875,1.583657474,0.748156196,0.432195994,2.3625,3023,1.72,16.18,11.2,1.42,-1.92352226,2.22,2.76,3023,1.72,7.87,30.651,1.34,-1.92725921,2.23,55,1.77,0.27,0,0,0,0,26,1,4,0,0,0,0
Ba,Cd,Pr,Ni,,,5,284.8981896,-0.868639335,4,332.63,58.6934,736.7,0.905,7.6725,6.929112707,0.078125,-4.308581836,1.41125,670.425,61.5,44.625,62.875,37.097725,-0.11925,-4.7375,1.525229494,0.820076015,0.599556291,2.4525,3005,1.62,18.168,14.6,1.42,-0.74033904,2.22,2.76,3005,1.62,7.635,35.17,1.2,-4.64853984,1.71,61,1.75,0.41,0,0.5,5.5,1.5,28,1,2,0,0,0,0
Ba,Dy,,Fe,,,4,270.0079129,-1.746806189,6,230,55.847,759.3,0.924375,7.592,7.011254716,-0.01125,-6.108765383,1.42875,657.0125,24.25,40.25,46.4125,50.18025,-0.134125,-4.8375,1.523011166,0.730574213,0.593848355,2.5575,3023,1.72,16.18,11.2,1.42,-1.92352226,2.22,2.76,3023,1.72,7.87,30.651,1.083,-4.45538074,2.49,55,1.77,0.527,0,0.75,3,7.5,26,1,4,0,0,0,0
Ba,Gd,,Fe,,,4,70.97342159,-1.903261754,6,311.71,55.847,759.3,0.933375,7.34825,7.055707903,0.2175,-6.128590454,1.43625,664.5125,24.25,38.75,46.375,48.2115,-0.1105,-4.95,1.539007716,0.750329251,0.769191702,2.595,3023,1.72,16.18,11.2,1.42,-1.92352226,2.22,2.76,3023,1.72,7.87,30.651,1.107,-4.51068704,2.54,55,1.77,0.503,0,0.75,5.25,5.25,26,1,4,0,0,0,0
Ba,Ho,,Fe,,,4,291.384616,-1.730646902,6,251.04,55.847,759.3,0.93825,7.68575,7.014745884,0.22,-6.099713791,1.425,660.3875,24.25,41,48.475,51.0916125,-0.137125,-4.8375,1.524267468,0.73946398,0.638998569,2.5425,3023,1.72,16.18,11.2,1.42,-1.92352226,2.22,2.76,3023,1.72,7.87,30.651,1.12,-4.4347242,2.47,55,1.77,0.49,0,0.75,2.25,8.25,26,1,4,0,0,0,0
Ba,La,,Co,,,4,59.63498938,-1.663537668,6,399.57,58.9332,758,0.97625,7.205,7.172912706,0.3121875,-5.628464674,1.29625,643.65,47.25,35,57.3625,39.7892125,-0.11375,-7.8875,1.604865962,0.69828496,0.896671578,2.745,3143,1.67,17.06,17.9,1.42,-1.92352226,2.22,2.76,3143,1.67,7.86,33.5,1.36,-4.79586452,2.74,58,1.75,0.25,0,0.75,0,0,27,1,3,0,0,1,1
Ba,La,,Cr,,,4,16.66840972,-2.244336479,6,399.57,51.996,652.8,0.98625,6.35,7.235654015,0.2046875,-6.841128372,1.30625,591.05,44.25,30.5,54.2125,43.2578125,-0.12775,-2.8875,1.569114158,0.810814951,0.985942563,2.745,2945,1.85,16.5,7.9,1.42,-1.92352226,2.22,2.76,2945,1.85,6.766,30.96,1.36,-4.79586452,2.74,49,1.73,0.25,0,0.75,0,0,24,1,5,0,0,1,0
Ba,La,,Fe,,,4,0,-2.003512701,6,399.57,55.847,759.3,1.02825,6.692,7.198177044,0.2146875,-6.231012282,1.30125,644.3,24.25,33.5,47.4625,41.3323125,-0.12775,-4.5375,1.590275463,0.697089424,0.957732475,2.745,3023,1.72,16.18,11.2,1.42,-1.92352226,2.22,2.76,3023,1.72,7.87,30.651,1.36,-4.79586452,2.74,55,1.77,0.25,0,0.75,0,0,26,1,4,0,0,1,0
